product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
LIVPURE LIV-PEP-PRO-PLUS+ 7 L RO + UV + UF Water Purifier with Taste Enhancer,"₹8,999","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 Year Manufacturer Warranty']",4.2,"52,507","9,276"
KENT Ace 8 L RO + UV + UF + TDS Water Purifier,"₹13,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"39,144","5,163"
Pureit by HUL Advanced Max 6 L Mineral RO + UV + MF + MP Water Purifier,"₹9,799","['Electrical & Storage', 'Mineral RO + UV + MF + MP', '6 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.4,"12,195","2,378"
FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier,"₹7,990","['Electrical & Storage', 'RO + MAT', '7 L Capacity', '1 year warranty on product']",3.5,12,1
Aquagrand Epic purify Mineral+ro+uv+uf+tds 15 L 15 L RO + UV + UF + TDS Water Purifier,"₹5,760","['Electrical & Storage', 'RO + UV + UF + TDS', '15 L Capacity', '6 Months offsite warranty on all electronic parts, installation will be provided by seller, buyer has to pay RS. 500-700 for installation, our technician will visit buyer within 24 to 48 hours for query/installation 08769114059 between 10 am to 6 pm. After installation visit will be chargeable. SUNDAY closed.']",4,"2,735",498
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,001",373
Blue Star Aristo 7 L RO + UV + UF Water Purifier with Pre Filter,"₹9,990","['Electrical & Storage', 'RO + UV + UF', '7 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty']",4.1,"8,951","1,386"
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,403,49
Pureit Max Water Saver 10 L RO + UV + MF Water Purifier with Eco Recovery Technology,"₹13,999","['Electrical & Storage', 'RO + UV + MF', '10 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.4,"2,215",478
LIVPURE LIV-PEP-PRO 7 L RO + UF Water Purifier,"₹7,499","['Electrical & Storage', 'RO + UF', '7 L Capacity', '1 year warranty']",4.2,"4,855",763
